epochNum,AdventureTime,BillyMandy,Chowder,Courage,DextersLab,EdEddEddy,Flapjack,Fosters,Gumball,KND,Lazlo,RegularShow,RickMorty,StevenUniverse,TTG,average
50,43.79,50.5,64.54,53.54,82.83,81.75,90.46,72.42,93.42,89.88,67.5,67.46,69.67,74.21,88.58,72.7
51,50.21,44.08,76.25,62.71,81.5,70.96,90.54,76.62,94.04,79.62,63.88,64.04,78.71,71.58,88.17,72.86
52,47.46,53.83,77.54,56.42,86.71,84.21,91.58,66.08,91.88,80.67,68.92,67.42,73.33,73.96,90.0,74.0
53,57.63,45.21,77.46,62.17,80.17,80.42,91.54,66.96,92.96,87.33,72.29,69.83,69.42,67.92,89.17,74.03
54,51.75,57.75,71.46,58.5,85.5,74.29,90.96,67.29,90.79,83.71,69.79,78.21,75.29,71.46,86.79,74.24
55,48.71,35.5,70.17,57.58,77.17,60.88,90.33,78.88,90.96,84.33,58.96,67.33,71.88,71.08,88.29,70.14
56,51.67,53.87,71.54,58.67,84.83,74.33,91.79,78.33,92.96,83.54,56.25,70.0,70.12,72.75,88.79,73.3
57,61.75,53.46,70.79,61.58,87.5,73.75,90.46,77.92,92.04,79.79,58.25,72.71,65.38,72.83,91.0,73.95
58,40.71,62.83,75.62,48.0,82.42,81.75,92.67,61.33,92.12,88.25,70.71,79.42,67.83,74.79,86.46,73.66
59,46.62,56.42,79.88,54.67,86.46,76.25,91.96,73.54,92.58,76.67,69.17,65.08,70.71,73.58,88.92,73.5
60,56.08,56.21,74.71,50.83,88.38,76.42,91.5,73.04,93.71,87.75,66.92,66.88,68.33,72.58,88.67,74.13
61,54.12,52.96,64.04,61.75,85.62,77.08,92.21,78.79,94.25,79.5,66.58,74.75,69.83,69.0,90.33,74.06
62,58.42,49.29,69.5,64.25,73.75,68.29,90.21,76.67,94.0,87.29,69.54,68.08,66.08,67.29,87.21,72.66
63,45.33,59.46,71.5,52.92,82.38,86.21,89.88,67.29,91.71,86.42,72.33,71.08,70.67,75.75,90.79,74.25
64,48.0,53.83,77.46,51.75,85.88,79.25,90.54,71.67,92.42,86.04,63.12,67.83,67.25,70.29,87.25,72.84
65,43.12,56.33,77.79,61.0,77.46,81.29,92.25,70.04,93.71,84.96,67.42,71.33,68.33,76.08,88.12,73.95
66,52.42,49.29,76.71,54.33,81.5,68.79,89.83,71.83,91.83,89.75,68.58,70.42,67.17,70.96,88.33,72.78
67,55.42,47.62,72.5,52.83,72.29,63.54,91.79,70.58,94.29,89.42,52.83,74.25,67.92,74.5,86.0,71.05
68,45.96,59.04,72.25,59.75,81.08,88.21,91.58,74.62,93.75,83.96,58.5,68.33,68.04,70.75,90.29,73.74
69,43.75,64.33,75.38,61.38,81.21,77.25,92.88,63.12,93.0,82.29,65.29,72.88,69.75,79.46,86.08,73.87
70,52.5,55.96,79.33,47.71,88.25,83.21,92.12,58.33,87.33,89.42,61.71,69.46,60.79,73.12,87.12,72.42
71,42.62,53.83,71.75,55.42,84.42,62.25,92.25,72.71,90.71,84.83,52.88,76.38,79.62,71.12,88.96,71.98
72,46.17,59.88,74.08,54.58,78.71,72.21,89.38,73.88,92.38,87.79,69.33,67.46,68.25,70.88,87.58,72.84
73,54.37,38.83,70.46,65.21,76.92,77.96,90.54,73.79,92.33,84.83,62.75,69.38,73.25,72.79,91.42,72.99
74,56.25,56.04,69.04,55.29,87.96,86.92,90.42,78.5,90.12,82.92,66.08,72.5,73.83,67.79,88.71,74.83
75,49.54,53.54,74.42,59.71,74.75,74.08,90.79,68.08,93.54,87.29,69.12,68.71,69.29,69.79,87.71,72.69
76,53.54,44.25,74.58,57.79,78.79,68.12,91.67,76.12,93.0,80.17,55.75,70.25,73.79,66.0,91.71,71.7
77,47.21,61.5,76.88,60.33,85.92,78.17,87.17,74.12,91.71,86.21,56.33,67.62,66.96,71.67,90.33,73.47
78,49.88,59.58,67.46,51.58,86.29,72.0,91.33,70.62,94.29,88.12,65.79,70.5,71.25,72.88,88.92,73.37
79,50.67,61.58,76.75,56.0,83.33,70.5,91.33,69.29,93.0,86.92,53.62,75.62,72.42,71.21,89.12,73.42
80,47.83,53.37,75.38,58.71,74.58,85.5,91.75,67.83,92.42,86.96,65.33,69.58,72.33,76.5,83.04,73.41
81,53.67,47.08,68.62,51.08,82.46,75.79,92.21,72.58,90.25,87.0,52.17,74.5,75.42,70.79,87.46,72.07
82,57.08,46.71,77.54,61.54,79.79,78.58,91.04,70.04,95.79,78.29,64.96,71.25,72.0,72.67,88.83,73.74
83,45.42,51.62,80.75,55.46,91.62,75.79,91.67,62.54,93.21,81.5,67.12,75.5,67.75,69.92,90.25,73.34
84,47.62,56.42,73.33,57.92,86.38,77.79,91.75,67.17,91.04,85.5,47.08,77.71,75.54,72.08,88.08,73.03
85,52.5,57.58,74.75,46.29,89.5,78.58,88.67,58.83,93.12,88.71,65.33,80.62,66.75,79.17,88.04,73.9
