epochNum,AdventureTime,BillyMandy,Chowder,Courage,DextersLab,EdEddEddy,Flapjack,Fosters,Gumball,KND,Lazlo,RegularShow,RickMorty,StevenUniverse,TTG,average
0,0.12,0.38,9.25,17.08,1.71,0.79,59.25,2.54,0.0,13.21,0.0,15.33,0.79,0.0,1.21,8.11
1,75.33,64.83,81.71,44.25,94.5,70.62,87.29,69.46,98.29,78.33,83.17,89.92,80.17,68.71,91.75,78.56
2,78.21,68.46,84.71,53.08,95.33,72.88,93.71,64.5,98.42,83.71,87.25,87.38,76.46,79.42,94.58,81.21
3,80.62,73.79,85.08,49.83,95.83,81.92,96.17,65.88,98.17,86.12,86.96,90.79,80.75,81.46,92.92,83.09
4,79.33,70.58,85.0,52.62,97.79,76.0,94.62,72.29,98.58,88.75,84.96,90.71,73.5,83.33,94.12,82.81
5,79.75,72.83,82.42,56.0,96.83,84.58,96.75,75.67,98.54,88.62,85.25,94.33,77.17,84.67,93.58,84.47
6,79.12,78.0,85.21,53.37,97.21,80.21,96.5,69.71,98.71,90.29,85.38,91.96,81.04,83.0,93.92,84.24
7,78.83,72.88,85.92,54.87,97.5,83.33,97.21,81.62,98.21,89.08,84.79,93.21,80.71,88.33,93.33,85.32
8,80.33,77.46,83.62,59.17,96.96,80.38,97.12,70.88,98.33,90.83,86.33,93.12,75.83,88.71,94.08,84.88
9,82.04,81.88,87.21,61.12,96.54,85.62,96.42,73.5,98.33,91.42,84.88,93.71,80.58,87.21,93.58,86.27
10,82.12,77.0,87.33,68.04,95.12,86.83,97.83,74.0,98.33,92.75,86.92,93.79,79.25,87.83,93.46,86.71
11,78.92,80.5,86.67,64.25,97.71,85.33,97.83,76.08,97.96,92.04,84.38,94.29,82.33,86.54,93.17,86.53
12,79.83,81.0,87.58,67.21,96.21,79.79,96.5,75.83,98.67,90.96,84.92,93.75,72.54,89.54,93.83,85.88
13,78.54,82.79,90.5,62.96,95.71,83.67,96.83,76.75,98.67,91.67,83.75,93.08,83.67,87.54,94.5,86.71
14,75.12,87.12,89.25,59.33,96.0,79.42,97.5,79.92,98.54,91.79,82.38,94.5,79.71,90.38,92.54,86.23
15,79.54,79.67,89.58,62.46,97.75,85.38,97.96,77.33,98.62,92.62,81.38,94.25,82.62,90.83,93.96,86.93
16,79.88,81.0,89.83,61.33,96.79,86.33,98.0,70.92,97.88,92.83,83.29,94.25,80.21,91.17,93.92,86.51
17,78.25,85.12,89.71,60.83,97.25,81.04,97.71,70.79,98.46,93.88,77.67,95.29,84.04,89.25,93.04,86.16
18,82.12,81.67,88.92,62.88,97.0,82.0,96.88,77.04,98.04,94.21,76.88,94.58,77.25,88.25,93.08,86.05
19,81.0,83.62,88.75,64.42,96.42,79.83,98.21,73.0,98.17,92.62,84.25,94.21,82.38,88.0,93.92,86.59
20,80.21,82.58,87.54,64.08,95.92,81.79,97.33,74.67,98.42,92.96,83.21,94.92,78.38,90.58,93.38,86.4
21,81.5,79.67,90.08,56.96,96.38,87.88,97.79,83.92,98.62,93.54,81.38,95.25,76.38,90.5,93.25,86.87
