epochNum,AdventureTime,BillyMandy,Chowder,Courage,DextersLab,EdEddEddy,Flapjack,Fosters,Gumball,KND,Lazlo,RegularShow,RickMorty,StevenUniverse,TTG,average
0,7.83,4.79,0.0,15.88,0.21,0.75,65.33,2.17,0.04,2.38,0.0,1.08,8.17,0.0,0.12,7.25
1,37.46,72.96,68.08,14.0,80.12,81.38,94.79,30.17,89.38,97.92,9.75,92.33,68.21,95.12,68.08,66.65
2,42.04,77.25,74.83,21.17,86.58,64.0,98.83,30.17,81.46,96.88,6.79,90.75,62.25,98.62,50.33,65.46
3,44.17,66.67,65.29,4.83,92.96,72.79,97.83,16.21,78.79,97.79,6.33,91.25,62.79,98.88,79.12,65.05
4,35.79,68.38,63.21,14.88,96.0,60.67,95.17,3.75,91.58,98.46,6.33,95.08,64.5,99.12,92.58,65.7
5,41.46,69.29,71.54,14.25,88.71,90.5,97.0,13.88,78.88,95.21,7.46,90.62,66.96,96.79,56.33,65.26
6,54.25,81.04,68.12,23.79,91.54,90.67,98.96,19.67,90.5,96.0,6.12,92.54,67.17,99.25,73.12,70.18
7,44.46,76.17,70.5,18.38,93.38,89.42,98.21,16.42,88.38,94.88,10.96,90.33,53.21,99.12,53.62,66.49
8,53.75,74.58,61.21,15.96,86.79,91.75,97.08,9.62,79.0,97.58,5.17,90.08,63.04,98.79,68.29,66.18
9,52.67,73.92,74.12,18.46,92.08,93.46,98.12,13.83,81.83,96.29,5.92,92.62,62.25,99.29,55.67,67.37
10,44.5,72.58,69.83,13.96,93.42,93.33,98.71,13.58,82.33,95.04,6.54,92.88,56.0,99.21,54.17,65.74
11,43.0,73.17,70.67,13.71,90.04,76.0,99.29,10.79,81.17,96.62,7.29,90.08,56.54,98.79,58.08,64.35
