epochNum,AdventureTime,BillyMandy,Chowder,Courage,DextersLab,EdEddEddy,Flapjack,Fosters,Gumball,KND,Lazlo,RegularShow,RickMorty,StevenUniverse,TTG,average
5,73.79,66.29,64.0,51.0,95.71,73.67,94.83,72.58,97.21,89.42,45.54,90.0,61.75,89.79,81.92,76.5
6,68.58,58.13,69.83,59.21,69.88,82.0,89.29,84.12,97.58,84.58,31.71,90.0,83.67,88.08,87.38,76.27
7,68.58,75.21,81.46,38.21,73.38,61.17,92.83,67.21,98.08,87.25,61.54,86.79,57.17,90.38,85.17,74.96
8,70.25,73.75,74.42,58.25,75.83,77.21,93.08,70.67,98.25,89.92,64.33,86.83,72.46,85.42,85.29,78.4
9,71.0,65.0,77.62,67.88,95.79,78.67,88.25,79.25,97.79,83.5,51.17,80.0,71.88,86.38,91.67,79.06
10,64.75,46.21,69.42,47.79,82.71,64.79,91.62,70.54,97.58,95.29,45.67,79.92,76.33,92.75,91.25,74.44
11,79.21,81.21,81.83,54.42,98.62,66.29,89.12,67.04,97.21,85.25,61.38,76.75,71.88,76.79,86.67,78.24
12,77.17,62.62,74.04,67.58,91.21,65.83,96.25,79.17,96.83,86.25,40.33,86.42,78.88,73.96,88.54,77.67
13,77.12,80.83,81.12,50.67,96.17,69.0,89.12,80.67,98.62,88.29,60.58,85.75,66.83,66.25,93.17,78.95
14,71.92,71.54,78.83,40.04,50.88,73.79,96.83,76.0,98.08,93.46,49.67,83.29,79.88,76.71,90.62,75.44
15,74.67,79.17,80.79,60.5,52.92,82.21,93.5,51.12,98.46,85.5,51.71,81.88,76.21,81.04,88.71,75.89
16,65.38,80.5,75.0,53.12,50.42,79.5,91.33,65.08,97.96,93.21,30.08,84.08,75.83,81.88,86.08,73.96
17,64.67,68.83,77.17,36.62,83.38,73.83,88.67,76.88,98.46,94.17,20.33,89.29,63.46,77.83,91.5,73.67
