epochNum,AdventureTime,BillyMandy,Chowder,Courage,DextersLab,EdEddEddy,Flapjack,Fosters,Gumball,KND,Lazlo,RegularShow,RickMorty,StevenUniverse,TTG,average
13,64.62,63.25,68.17,60.83,69.54,72.21,92.83,81.75,98.54,76.38,59.92,76.42,86.83,76.33,91.5,75.94
14,68.5,73.83,81.21,43.5,79.0,81.83,91.0,79.21,98.17,87.25,70.33,74.5,76.96,80.42,86.96,78.18
15,64.96,61.38,75.79,53.42,62.08,79.0,90.29,75.92,97.46,91.62,66.92,69.62,74.21,80.71,89.79,75.54
16,54.75,68.33,79.79,51.29,74.54,82.46,94.08,78.0,97.08,91.67,51.88,86.88,76.42,73.88,84.0,76.34
17,55.12,69.62,78.12,56.12,74.46,73.92,95.21,69.21,96.96,90.88,48.75,84.54,88.54,80.96,87.88,76.69
18,64.38,52.67,74.54,52.75,75.17,51.5,93.33,83.38,98.12,93.08,46.12,84.17,79.29,78.17,85.88,74.17
19,61.79,73.67,82.67,47.54,73.04,64.88,92.33,80.92,97.79,89.62,61.5,85.0,76.46,79.0,84.71,76.73
20,70.67,65.08,73.08,47.79,81.17,63.46,96.12,74.29,98.46,88.92,58.46,81.42,84.83,76.58,88.33,76.58
21,78.29,59.88,72.38,51.75,67.21,55.67,93.42,82.96,97.46,91.83,56.79,83.79,71.33,71.08,88.92,74.85
22,56.42,60.08,78.12,58.67,77.46,70.08,90.04,84.33,97.96,90.38,53.04,77.75,83.0,81.88,81.79,76.07
23,71.12,45.38,75.17,56.79,87.17,70.92,92.83,80.46,98.46,90.79,47.25,83.54,87.62,73.29,88.75,76.64
24,63.04,58.08,84.92,53.75,65.25,84.33,94.42,82.96,96.54,88.62,50.71,81.21,79.67,82.04,84.04,76.64
25,65.0,59.92,79.21,51.08,80.96,67.88,90.08,78.29,97.5,92.62,55.92,77.92,78.38,76.88,86.71,75.89
26,66.25,75.62,79.42,58.54,80.58,73.33,93.0,81.5,97.67,86.12,56.5,77.17,69.71,72.79,87.75,77.06
