epochNum,AdventureTime,BillyMandy,Chowder,Courage,DextersLab,EdEddEddy,Flapjack,Fosters,Gumball,KND,Lazlo,RegularShow,RickMorty,StevenUniverse,TTG,average
0,1.96,0.62,0.0,67.58,0.71,0.08,0.58,3.75,0.04,2.46,3.0,0.21,0.12,22.54,1.0,6.98
1,77.42,67.04,61.33,50.33,69.88,88.92,98.75,73.75,91.42,85.08,70.33,93.71,80.08,86.46,87.46,78.8
2,85.92,47.79,74.79,37.88,57.17,74.12,98.42,71.79,98.96,88.17,61.62,74.38,81.04,61.17,86.25,73.3
3,72.33,73.62,74.46,56.12,93.25,89.0,98.17,87.12,98.46,91.46,60.88,80.12,85.21,87.92,84.5,82.17
4,68.29,72.38,54.58,43.92,91.0,67.5,96.04,92.25,98.96,90.17,64.33,91.5,76.29,81.12,93.38,78.78
5,71.21,79.0,67.33,60.04,95.21,64.29,96.46,72.04,99.5,93.42,52.42,89.67,77.79,91.58,88.5,79.9
6,81.88,80.08,80.67,51.88,85.79,58.04,97.88,72.88,98.71,96.08,58.04,82.62,81.83,92.79,84.5,80.24
7,78.29,76.54,59.25,66.08,89.88,90.12,95.83,77.83,99.46,86.96,59.88,86.38,72.21,75.08,87.17,80.06
8,81.54,82.88,61.25,75.17,86.58,67.12,84.67,78.88,97.67,87.67,78.5,87.29,75.92,91.62,85.83,81.51
9,78.17,63.04,72.29,61.83,46.5,63.88,92.21,90.92,98.04,89.21,70.17,87.92,62.25,77.62,87.25,76.09
10,72.54,80.21,91.46,57.29,96.17,85.42,95.0,67.08,98.79,92.67,59.79,77.08,87.17,89.08,81.42,82.08
11,69.21,78.62,76.96,66.92,87.83,65.62,88.71,76.96,98.54,90.75,66.92,89.21,84.29,85.71,89.62,81.06
12,66.0,78.04,73.62,60.38,61.54,78.88,95.38,81.83,97.88,90.79,18.29,83.88,84.62,90.79,84.08,76.4
13,88.33,62.21,71.58,59.92,83.88,76.38,94.75,78.92,98.42,93.58,26.42,69.12,67.5,80.75,82.46,75.61
